market_id,player_1,player_2,odds_player_1,odds_player_2,match_id,actual_winner,winner_name,loser_name,match_date,selection_id_1,selection_id_2,implied_prob_1,implied_prob_2,odds_margin,implied_prob_diff,odds,odds_2,implied_prob,implied_diff
1.223784419,Gonzalez/Skupski,Behar/Pavlasek,,,5b5483c5da,,,,,27502804,55987911,,,,,,,,
1.223784514,Miomir Kecmanovic,Carlos Alcaraz,,,0b2fe07c04,,,,,9657480,25215583,,,,,,,,
1.22378452,Facundo Bagnis,Dmitry Popko,,,7e5314b990,,,,,4520808,8284522,,,,,,,,
1.223784976,Hubert Hurkacz,Arthur Cazaux,,,0b5425abb0,,,,,19924838,24918582,,,,,,,,
1.223785526,Paul Jubb,Mitchell Krueger,,,2cc3bb8af3,,,,,12085604,19924836,,,,,,,,
1.22378553,Javier Barranco Cosano,Pedro Martinez,,,00de2506e0,,,,,10082231,13181195,,,,,,,,
1.223791343,Kwiatkowski / Lawson,Seggerman / Trhac,,,778b322148,,,,,41751096,61073284,,,,,,,,
1.223791409,Victoria Azarenka,Dayana Yastremska,,,ad99ff8807,Dayana Yastremska,Dayana Yastremska,Victoria Azarenka,2024-01-15,2263640,9634670,,,,,,,,
1.223795216,Bucsa/Panova,Haddad Maia/Townsend,,,5dcce12282,,,,,59637450,64689948,,,,,,,,
1.22379522,Krejcikova/Siegemund,Navarro/Shnaider,,,f7215b6656,,,,,64689930,64928024,,,,,,,,
1.223795224,Hunter/Siniakova,Alexandrova/Kalinskaya,,,b53e8ff0ac,,,,,51395753,60949262,,,,,,,,
1.22379534,Thai-Son Kwiatkowski,Brandon Holt,,,2cd379fa2c,,,,,8258569,10410230,,,,,,,,
1.223796469,Errani/Paolini,Hsieh/Mertens,,,05a3fcf507,,,,,23889603,39345701,,,,,,,,
1.223802643,Elina Svitolina,Linda Noskova,,,327d24556c,Linda Noskova,Linda Noskova,Elina Svitolina,2024-01-15,6324464,22088831,,,,,,,,
1.223802827,Nuno Borges,Daniil Medvedev,,,cf693fc9be,,,,,9633043,19924831,,,,,,,,
1.22380489,Alexander Zverev,Cameron Norrie,,,3c452f44a0,,,,,19924823,42669524,,,,,,,,
1.223821785,Pedro Martinez,Brandon Nakashima,,,7d65120543,,,,,13181195,17806048,,,,,,,,
1.223821789,Granollers/Zeballos,Hanfmann/Koepfer,,,07932b6049,,,,,25327214,39269027,,,,,,,,
1.223836312,Marta Kostyuk,Coco Gauff,,,11e1b45d2b,Coco Gauff,Coco Gauff,Marta Kostyuk,2024-01-15,11694656,27552403,,,,,,,,
1.223836911,Robin Anderson,Teresa Franco Dias,,,0be212cf85,,,,,8947134,13181173,,,,,,,,
1.223838669,Novak Djokovic,Taylor Fritz,,,9a12bdb918,,,,,2249229,10279360,,,,,,,,
1.223839211,Orlando Luz,Alexander Weis,,,f73474d3ca,,,,,9420501,9634691,,,,,,,,
1.223839227,Carlos Sanchez Jover,Gonzalo Bueno,,,7b4863f153,,,,,11510034,21067278,,,,,,,,
1.223839251,M A Dellien Velasco,Gilbert Soares,,,fbf8b87df5,,,,,65177945,65177946,,,,,,,,
1.22383939,Barbora Krejcikova,Aryna Sabalenka,,,126bb6c8db,Aryna Sabalenka,Aryna Sabalenka,Barbora Krejcikova,2024-01-15,8784972,64563186,,,,,,,,
1.22383997,Bor Artnak,Patrick Brady,,,c59fff1389,,,,,40249820,43172315,,,,,,,,
1.223840071,Edan Leshem,Bruno Kuzuhara,,,ee080580f5,,,,,9304278,38183232,,,,,,,,
1.223840083,Ajeet Rai,Ozan Baris,,,0cef60f312,,,,,16655852,47651527,,,,,,,,
1.223840091,Thomas Fancutt,Colin Markes,,,30cc4abba0,,,,,9630951,11439905,,,,,,,,
1.223840099,Isaiah Strode,Ezekiel Clark,,,2f9ba2ce9a,,,,,9633905,14833284,,,,,,,,
1.22384925,Hunter/Ebden,Fourlis/Harris,,,14e846ee55,,,,,64494980,65088857,,,,,,,,
1.22385018,Andrey Rublev,Jannik Sinner,,,e68f7d4f20,,,,,7797771,10372253,,,,,,,,
1.223866587,Oleksandra Oliynykova,Silvia Ambrosio,,,858eda3181,,,,,12899960,24623193,,,,,,,,
1.223867855,Andrea Collarini,Gustavo Heide,,,6b70db6a1a,,,,,8284716,21809000,,,,,,,,
1.223874112,Pierre-Hugues Herbert,Michael Mmoh,,,8dca62e288,,,,,8266399,8798905,,,,,,,,
1.223874249,Arjun Kadhe,Mikalai Haliak,,,b217347bcd,,,,,8924620,9633282,,,,,,,,
1.223874273,Evan Furness,William Jucha,,,6e81601879,,,,,8890205,46659647,,,,,,,,
1.223874277,Lorenzo Giustino,Emilien Voisin,,,cdd2800ea3,,,,,7534093,19063920,,,,,,,,
1.223874293,Maxime Janvier,Alexandre Aubriot,,,656ac4a86c,,,,,8257852,19931620,,,,,,,,
1.223874305,Moez Echargui,Cyril Vandermeersch,,,a2cee5024d,,,,,10033628,12737315,,,,,,,,
1.223874317,Nicolas Kicker,Luciano Darderi,,,4ca7cb47f8,,,,,8326744,26309941,,,,,,,,
1.223874325,Thiago Agustin Tirante,Franco Roncadelli,,,d214f84b76,,,,,11233238,15865858,,,,,,,,
1.223874329,Orlando Luz,Nikolas Sanchez Izquierdo,,,6a8dfda6f6,,,,,9420501,25060922,,,,,,,,
1.223874333,Federico Agustin Gomez,Alvaro Guillen Meza,,,148e4ca80f,,,,,9632665,15745245,,,,,,,,
1.223874341,Dellien Velasco M A,Carlos Sanchez,,,4475e77f85,,,,,64979618,65204537,,,,,,,,
1.223874345,Brandon Holt,Ryan Seggerman,,,e601dc9d91,,,,,10410230,11905639,,,,,,,,
1.223874349,Tennys Sandgren,Trevor Svajda,,,18934d8a7c,,,,,6604266,45923382,,,,,,,,
1.223874363,Vasek Pospisil,Sebastian Fanselow,,,e6420914c4,,,,,4903598,9623671,,,,,,,,
1.223874367,Giovanni Oradini,Learner Tien,,,eb2b4bbe7c,,,,,9634158,42082091,,,,,,,,
1.223874371,Benjamin Lock,Yshai Oliel,,,ae0d08759b,,,,,8491683,9635518,,,,,,,,
1.223874816,Steven Diez,Michael Geerts,,,14c5ad6703,,,,,4903593,8874195,,,,,,,,
1.22387482,Cem Ilkel,Nikoloz Basilashvili,,,0c6983c998,,,,,8444055,42652250,,,,,,,,
1.223874828,Altug Celikbilek,Alejandro Moro Canas,,,6022e1f984,,,,,8842202,20955021,,,,,,,,
1.223874832,David Jorda Sanchis,Alibek Kachmazov,,,bc92a9ef49,,,,,10902137,20357631,,,,,,,,
1.223874836,Denis Yevseyev,Jack Loge,,,6b3653a563,,,,,8304957,48445972,,,,,,,,
1.22387484,Charles Broom,Maks Kasnikowski,,,ce0941263d,,,,,10109487,35635702,,,,,,,,
1.223874844,Marvin Moeller,Guy Den Ouden,,,327d758e4c,,,,,11422706,36157022,,,,,,,,
1.223874848,Henri Squire,Tibo Colson,,,050725a22f,,,,,10460261,27405701,,,,,,,,
1.223874856,Facundo Bagnis,Lukas Neumayer,,,d154cd4ab9,,,,,4520808,35635716,,,,,,,,
1.22387508,Strong Kirchheimer,Evan Zhu,,,3f34dc36be,,,,,7588306,10896515,,,,,,,,
1.223875354,Marco Trungelliti,Lucas Gerch,,,2e6b215e03,,,,,6498878,9628967,,,,,,,,
1.223875424,Mona Barthel,Nastasja Schunk,,,9fd7289690,,,,,5056975,24143414,,,,,,,,
1.223876998,Dayana Yastremska,Linda Noskova,,,05a4bdd99d,Dayana Yastremska,Dayana Yastremska,Linda Noskova,2024-01-15,9634670,22088831,,,,,,,,
1.223878842,Keegan Smith,Maxwell Mckennon,,,8244706b83,,,,,11928538,21067283,,,,,,,,
1.223878846,Elijah Strode,Ozan Baris,,,63c07316aa,,,,,41684629,47651527,,,,,,,,
