match_date,winner,loser,player_1,player_2,odds_player_1,odds_player_2,implied_prob_1,implied_prob_2,actual_winner,p1_is_winner,p2_is_winner,winner_clean,p1_clean,p1_won,odds_margin,is_fav_p1,implied_diff,p_model,ev_p1_model,model_bet,profit_model
2023-01-16,Botic Van De Zandschulp,Ilya Ivashka,Botic Van de Zandschulp,Ilya Ivashka,1.61,2.25,0.6211180124223602,0.4444444444444444,Botic Van De Zandschulp,False,False,botic van de zandschulp,botic van de zandschulp,1,0.0655624568668047,1,0.1766735679779157,0.5345544476318823,-0.1393673393126694,False,0.0
2023-01-16,Botic Van De Zandschulp,Ilya Ivashka,Botic Van de Zandschulp,Ilya Ivashka,1.62,2.25,0.6172839506172839,0.4444444444444444,Botic Van De Zandschulp,False,False,botic van de zandschulp,botic van de zandschulp,1,0.0617283950617282,1,0.1728395061728395,0.5293940592767643,-0.1423816239716417,False,0.0
2023-01-16,Botic Van De Zandschulp,Ilya Ivashka,Botic Van de Zandschulp,Ilya Ivashka,1.62,2.25,0.6172839506172839,0.4444444444444444,Botic Van De Zandschulp,False,False,botic van de zandschulp,botic van de zandschulp,1,0.0617283950617282,1,0.1728395061728395,0.5293940592767643,-0.1423816239716417,False,0.0
2023-01-16,Botic Van De Zandschulp,Ilya Ivashka,Botic Van de Zandschulp,Ilya Ivashka,1.83,1.95,0.5464480874316939,0.5128205128205129,Botic Van De Zandschulp,False,False,botic van de zandschulp,botic van de zandschulp,1,0.0592686002522069,1,0.033627574611181,0.3521519765701686,-0.3555618828765914,False,0.0
2023-01-16,Botic Van De Zandschulp,Ilya Ivashka,Botic Van de Zandschulp,Ilya Ivashka,1.79,1.97,0.5586592178770949,0.5076142131979695,Botic Van De Zandschulp,False,False,botic van de zandschulp,botic van de zandschulp,1,0.0662734310750643,1,0.0510450046791254,0.3734697831640776,-0.331489088136301,False,0.0
2023-01-16,Botic Van De Zandschulp,Ilya Ivashka,Botic Van de Zandschulp,Ilya Ivashka,1.63,2.23,0.6134969325153374,0.4484304932735426,Botic Van De Zandschulp,False,False,botic van de zandschulp,botic van de zandschulp,1,0.06192742578888,1,0.1650664392417948,0.5192814652671931,-0.1535712116144753,False,0.0
2023-01-16,Botic Van De Zandschulp,Ilya Ivashka,Botic Van de Zandschulp,Ilya Ivashka,1.37,2.02,0.7299270072992701,0.495049504950495,Botic Van De Zandschulp,False,False,botic van de zandschulp,botic van de zandschulp,1,0.2249765122497651,1,0.234877502348775,0.6158040438795489,-0.1563484598850179,False,0.0
2023-01-16,Botic Van De Zandschulp,Ilya Ivashka,Botic Van de Zandschulp,Ilya Ivashka,1.99,3.75,0.5025125628140703,0.2666666666666666,Botic Van De Zandschulp,False,False,botic van de zandschulp,botic van de zandschulp,1,-0.230820770519263,1,0.2358458961474037,0.5969193107884458,0.1878694284690072,True,0.99
2023-01-16,Botic Van De Zandschulp,Ilya Ivashka,Botic Van de Zandschulp,Ilya Ivashka,1.48,2.94,0.6756756756756757,0.3401360544217687,Botic Van De Zandschulp,False,False,botic van de zandschulp,botic van de zandschulp,1,0.0158117300974443,1,0.3355396212539069,0.7228650677809554,0.0698403003158139,True,0.48
2023-01-16,Botic Van De Zandschulp,Ilya Ivashka,Botic Van de Zandschulp,Ilya Ivashka,1.52,3.1,0.6578947368421053,0.3225806451612903,Botic Van De Zandschulp,False,False,botic van de zandschulp,botic van de zandschulp,1,-0.0195246179966044,1,0.335314091680815,0.7213190184563654,0.0964049080536753,True,0.52
