tourney_date,surface,winner_name,loser_name,winner_rank,loser_rank,score,best_of,tour
20230116,Hard,Taylor Fritz,Nikoloz Basilashvili,9.0,90.0,6-4 6-2 4-6 7-5,5,ATP
20230116,Hard,Alexei Popyrin,Chun Hsin Tseng,113.0,115.0,4-6 7-6(5) 6-7(5) 7-6(4) 6-1,5,ATP
20230116,Hard,Ben Shelton,Zhizhen Zhang,89.0,96.0,4-6 6-3 6-2 2-6 7-6(4),5,ATP
20230116,Hard,Nicolas Jarry,Miomir Kecmanovic,154.0,27.0,6-3 6-4 7-6(3),5,ATP
20230116,Hard,Diego Schwartzman,Oleksii Krutykh,26.0,188.0,6-4 6-7(6) 6-3 7-6(5),5,ATP
20230116,Hard,J J Wolf,Jordan Thompson,67.0,88.0,6-3 3-6 6-4 7-5,5,ATP
20230116,Hard,Michael Mmoh,Laurent Lokoli,107.0,175.0,4-6 2-6 7-6(7) 6-4 6-2,5,ATP
20230116,Hard,Alexander Zverev,Juan Pablo Varillas,13.0,103.0,4-6 6-1 5-7 7-6(3) 6-4,5,ATP
20230116,Hard,Andy Murray,Matteo Berrettini,66.0,14.0,6-3 6-3 4-6 6-7(7) 7-6(6),5,ATP
20230116,Hard,Thanasi Kokkinakis,Fabio Fognini,159.0,57.0,6-1 6-2 6-2,5,ATP
20230116,Hard,Brandon Holt,Aleksandar Vukic,215.0,146.0,6-4 1-6 6-3 3-6 6-3,5,ATP
20230116,Hard,Roberto Bautista Agut,Joao Sousa,25.0,81.0,6-3 6-2 6-2,5,ATP
20230116,Hard,Alejandro Davidovich Fokina,Alexander Bublik,32.0,36.0,6-0 6-7(3) 3-6 6-4 6-3,5,ATP
20230116,Hard,Tommy Paul,Jan Lennard Struff,35.0,167.0,6-1 7-6(6) 6-2,5,ATP
20230116,Hard,Jenson Brooksby,Christopher Oconnell,39.0,80.0,3-6 6-2 6-3 6-2,5,ATP
20230116,Hard,Casper Ruud,Tomas Machac,3.0,110.0,6-3 7-6(6) 6-7(5) 6-3,5,ATP
20230116,Hard,Mackenzie Mcdonald,Rafael Nadal,65.0,2.0,6-4 6-4 7-5,5,ATP
20230116,Hard,Yoshihito Nishioka,Dalibor Svrcina,33.0,216.0,6-3 6-4 6-2,5,ATP
20230116,Hard,Karen Khachanov,Jason Kubler,20.0,84.0,6-4 5-7 6-4 6-2,5,ATP
20230116,Hard,Frances Tiafoe,Juncheng Shang,17.0,194.0,6-4 6-4 6-1,5,ATP
20230116,Hard,Hubert Hurkacz,Lorenzo Sonego,11.0,47.0,3-6 7-6(3) 2-6 6-3 6-3,5,ATP
20230116,Hard,Denis Shapovalov,Taro Daniel,22.0,94.0,6-3 7-6(3) 7-5,5,ATP
20230116,Hard,Sebastian Korda,Yosuke Watanuki,31.0,138.0,6-2 7-5 6-4,5,ATP
20230116,Hard,Daniil Medvedev,John Millman,8.0,140.0,7-5 6-2 6-2,5,ATP
20230116,Hard,Stefanos Tsitsipas,Rinky Hijikata,4.0,169.0,6-3 6-0 6-2,5,ATP
20230116,Hard,Tallon Griekspoor,Botic Van De Zandschulp,63.0,34.0,6-4 6-4 6-4,5,ATP
20230116,Hard,Marton Fucsovics,Lloyd Harris,78.0,186.0,6-2 6-3 5-7 6-4,5,ATP
20230116,Hard,Jannik Sinner,Tomas Martin Etcheverry,16.0,79.0,6-3 6-2 6-2,5,ATP
20230116,Hard,Cameron Norrie,Constant Lestienne,12.0,55.0,6-3 3-6 7-6(2) 6-3,5,ATP
20230116,Hard,Jiri Lehecka,Christopher Eubanks,71.0,116.0,6-4 6-4 3-6 6-3,5,ATP
20230116,Hard,Francisco Cerundolo,Corentin Moutet,29.0,62.0,3-6 6-4 6-2 7-5,5,ATP
20230116,Hard,Felix Auger Aliassime,Alex Molcan,7.0,53.0,3-6 3-6 6-3 6-2 6-2,5,ATP
20230116,Hard,Andrey Rublev,Emil Ruusuvuori,6.0,46.0,6-2 6-4 6-7(2) 6-3,5,ATP
20230116,Hard,Daniel Evans,Jeremy Chardy,30.0,,6-4 6-4 6-1,5,ATP
20230116,Hard,Ugo Humbert,Denis Kudla,106.0,108.0,6-2 6-7(5) 6-2 6-4,5,ATP
20230116,Hard,Holger Rune,Maxime Cressy,10.0,41.0,7-5 6-4 6-4,5,ATP
20230116,Hard,Benjamin Bonzi,Pablo Carreno Busta,48.0,15.0,4-6 4-6 7-6(5) 6-1 7-6(4),5,ATP
20230116,Hard,Alex De Minaur,Adrian Mannarino,24.0,45.0,7-6(3) 4-6 6-4 6-1,5,ATP
20230116,Hard,Grigor Dimitrov,Laslo Djere,28.0,68.0,6-3 6-2 6-0,5,ATP
20230116,Hard,Novak Djokovic,Enzo Couacaud,5.0,191.0,6-1 6-7(5) 6-2 6-0,5,ATP
20230116,Hard,Alexei Popyrin,Taylor Fritz,113.0,9.0,6-7(4) 7-6(2) 6-4 6-7(6) 6-2,5,ATP
20230116,Hard,Ben Shelton,Nicolas Jarry,89.0,154.0,7-6(3) 7-6(3) 7-5,5,ATP
20230116,Hard,J J Wolf,Diego Schwartzman,67.0,26.0,6-1 6-4 6-4,5,ATP
20230116,Hard,Michael Mmoh,Alexander Zverev,107.0,13.0,6-7(1) 6-4 6-3 6-2,5,ATP
20230116,Hard,Andy Murray,Thanasi Kokkinakis,66.0,159.0,4-6 6-7(4) 7-6(5) 6-3 7-5,5,ATP
