snapshot_date,match_date,winner,loser,player_1,player_2,odds_player_1,odds_player_2,implied_prob_1,implied_prob_2,bookmaker,actual_winner,p1_is_winner,p2_is_winner,odds_margin,implied_diff,won
2023-01-17,2023-01-16,Varvara Gracheva,Daria Kasatkina,Daria Kasatkina,Varvara Gracheva,1.13,6.4,0.8849557522123894,0.15625,BetRivers,Varvara Gracheva,False,True,-0.041205752212389424,0.7287057522123894,0
2023-01-17,2023-01-16,Elena Rybakina,Kaja Juvan,Elena Rybakina,Kaja Juvan,1.18,4.9,0.8474576271186441,0.2040816326530612,WynnBET,Elena Rybakina,True,False,-0.05153925977170526,0.6433759944655829,1
2023-01-17,2023-01-16,Lin Zhu,Jil Teichmann,Jil Teichmann,Lin Zhu,1.43,2.94,0.6993006993006994,0.3401360544217687,LowVig.ag,Lin Zhu,False,True,-0.03943675372246802,0.3591646448789307,0
2023-01-17,2023-01-16,Marta Kostyuk,Olivia Gadecki,Marta Kostyuk,Olivia Gadecki,1.15,5.5,0.8695652173913044,0.1818181818181818,Bet Victor,Marta Kostyuk,True,False,-0.05138339920948631,0.6877470355731227,1
2023-01-17,2023-01-16,Cristina Bucsa,Bianca Andreescu,Bianca Andreescu,Cristina Bucsa,1.2,4.0,0.8333333333333334,0.25,Paddy Power,Cristina Bucsa,False,True,-0.08333333333333348,0.5833333333333334,0
2023-01-17,2023-01-16,Bernarda Pera,Qinwen Zheng,Bernarda Pera,Qinwen Zheng,3.48,1.34,0.2873563218390804,0.7462686567164178,LowVig.ag,Bernarda Pera,True,False,-0.033624978555498286,-0.45891233487733746,1
2023-01-17,2023-01-16,Maria Sakkari,Diana Shnaider,Diana Shnaider,Maria Sakkari,4.45,1.21,0.2247191011235955,0.8264462809917356,Marathon Bet,Maria Sakkari,False,True,-0.05116538211533106,-0.6017271798681401,0
2023-01-17,2023-01-16,Danielle Collins,Karolina Muchova,Danielle Collins,Karolina Muchova,1.56,2.5,0.641025641025641,0.4,DraftKings,Danielle Collins,True,False,-0.04102564102564088,0.24102564102564095,1
2023-01-17,2023-01-16,Coco Gauff,Emma Raducanu,Coco Gauff,Emma Raducanu,1.35,3.2,0.7407407407407407,0.3125,Unibet,Coco Gauff,True,False,-0.0532407407407407,0.4282407407407407,1
2023-01-17,2023-01-16,Lauren Davis,Danka Kovinic,Danka Kovinic,Lauren Davis,2.75,1.44,0.3636363636363636,0.6944444444444444,Barstool Sportsbook,Lauren Davis,False,True,-0.058080808080807955,-0.33080808080808083,0
2023-01-17,2023-01-16,Donna Vekic,Oksana Selekhmeteva,Donna Vekic,Oksana Selekhmeteva,1.36,3.75,0.7352941176470588,0.2666666666666666,Matchbook,Donna Vekic,True,False,-0.0019607843137254832,0.46862745098039216,1
2023-01-17,2023-01-16,Karolina Pliskova,Xiyu Wang,Karolina Pliskova,Xiyu Wang,1.28,3.6,0.78125,0.2777777777777778,Ladbrokes,Karolina Pliskova,True,False,-0.05902777777777768,0.5034722222222222,1
2023-01-17,2023-01-16,Linda Fruhvirtova,Jaimee Fourlis,Jaimee Fourlis,Linda Fruhvirtova,11.0,1.05,0.0909090909090909,0.9523809523809524,Barstool Sportsbook,Linda Fruhvirtova,False,True,-0.04329004329004338,-0.8614718614718615,0
2023-01-17,2023-01-16,Kimberly Birrell,Kaia Kanepi,Kaia Kanepi,Kimberly Birrell,1.05,8.5,0.9523809523809524,0.1176470588235294,Bet Victor,Kimberly Birrell,False,True,-0.07002801120448177,0.834733893557423,0
2023-01-17,2023-01-16,Anett Kontaveit,Julia Grabher,Anett Kontaveit,Julia Grabher,1.09,8.0,0.9174311926605504,0.125,BetRivers,Anett Kontaveit,True,False,-0.04243119266055029,0.7924311926605504,1
2023-01-17,2023-01-16,Katie Volynets,Evgeniya Rodina,Evgeniya Rodina,Katie Volynets,2.44,1.66,0.4098360655737705,0.6024096385542169,Matchbook,Katie Volynets,False,True,-0.012245704127987533,-0.19257357298044642,0
