market_id,player_1,player_2,odds_player_1,odds_player_2,actual_winner,winner_name,loser_name,match_date,player_1_clean,player_2_clean,selection_id_1,selection_id_2,implied_prob_1,implied_prob_2,odds_margin,implied_diff
1.2087433,Corentin Moutet,Francisco Cerundolo,22.0,1.01,Francisco Cerundolo,Francisco Cerundolo,Corentin Moutet,2023-01-16,corentin moutet,francisco cerundolo,8842291,11204210,0.045454545454545456,0.9900990099009901,0.035553555355535504,-0.9446444644464447
1.208743605,Sebastian Korda,Yosuke Watanuki,1.01,90.0,Sebastian Korda,Sebastian Korda,Yosuke Watanuki,2023-01-16,sebastian korda,yosuke watanuki,10902223,19924830,0.9900990099009901,0.011111111111111112,0.0012101210121011619,0.978987898789879
1.208744242,Denis Kudla,Roman Safiullin,1.01,110.0,Denis Kudla,Denis Kudla,Roman Safiullin,2023-01-16,denis kudla,roman safiullin,4829260,9125686,0.9900990099009901,0.00909090909090909,-0.0008100810081008714,0.981008100810081
1.208745476,Jason Kubler,Karen Khachanov,4.3,1.3,Karen Khachanov,Karen Khachanov,Jason Kubler,2023-01-16,jason kubler,karen khachanov,4448756,7659623,0.23255813953488372,0.7692307692307692,0.0017889087656528524,-0.5366726296958855
1.208745572,Yoshihito Nishioka,Dalibor Svrcina,1.3,990.0,Yoshihito Nishioka,Yoshihito Nishioka,Dalibor Svrcina,2023-01-16,yoshihito nishioka,dalibor svrcina,7137497,13714711,0.7692307692307692,0.00101010101010101,-0.22975912975912982,0.7682206682206681
1.208745668,Tallon Griekspoor,Botic Van de Zandschulp,2.2,1.82,Tallon Griekspoor,Tallon Griekspoor,Botic Van De Zandschulp,2023-01-16,tallon griekspoor,botic van de zandschulp,9198585,40921814,0.45454545454545453,0.5494505494505494,0.003996003996003861,-0.09490509490509486
1.208745764,Taro Daniel,Denis Shapovalov,6.6,1.17,Denis Shapovalov,Denis Shapovalov,Taro Daniel,2023-01-16,taro daniel,denis shapovalov,8173434,19924829,0.15151515151515152,0.8547008547008548,0.006216006216006376,-0.7031857031857033
1.208746105,Rafael Nadal,Mackenzie McDonald,1000.0,1.01,Mackenzie Mcdonald,Mackenzie Mcdonald,Rafael Nadal,2023-01-16,rafael nadal,mackenzie mcdonald,2251410,10691901,0.001,0.9900990099009901,-0.008900990099009909,-0.9890990099009901
1.208747651,Lorenzo Sonego,Hubert Hurkacz,4.3,1.31,Hubert Hurkacz,Hubert Hurkacz,Lorenzo Sonego,2023-01-16,lorenzo sonego,hubert hurkacz,8826925,19924838,0.23255813953488372,0.7633587786259541,-0.004083081839162173,-0.5308006390910704
1.208747747,Christopher Eubanks,Jiri Lehecka,3.15,1.46,Jiri Lehecka,Jiri Lehecka,Christopher Eubanks,2023-01-16,christopher eubanks,jiri lehecka,7445660,13203243,0.31746031746031744,0.684931506849315,0.002391824309632362,-0.3674711893889976
