market_id,player_1,player_2,odds_player_1_x,odds_player_2_x,actual_winner,winner_name,loser_name,match_date,player_1_clean,player_2_clean,selection_id_1,selection_id_2,odds_player_1_y,odds_player_2_y,odds_player_1,odds_player_2,implied_prob_1,implied_prob_2,odds_margin,implied_diff
1.217692913,Elise Mertens,Danielle Collins,1.01,50.0,Elise Mertens,Elise Mertens,Danielle Collins,2023-08-28,elise mertens,danielle collins,9002334,9626845,1.01,50.0,1.01,10.0,0.9900990099009901,0.1,1.0900990099009902,0.8900990099009901
1.217695242,Anna Kalinskaya,Sorana Cirstea ,42.0,1.03,Sorana Cirstea,Sorana Cirstea,Anna Kalinskaya,2023-08-28,anna kalinskaya,sorana cirstea,8907174,51395204,42.0,1.03,10.0,1.03,0.1,0.970873786407767,1.070873786407767,-0.870873786407767
1.217696003,Magda Linette,Jennifer Brady,2.36,1.72,Jennifer Brady,Jennifer Brady,Magda Linette,2023-08-28,magda linette,jennifer brady,7083215,8784966,2.36,1.72,2.36,1.72,0.42372881355932207,0.5813953488372093,1.0051241623965315,-0.15766653527788727
1.21769619,Jelena Ostapenko,Elina Avanesyan,1.06,19.0,Jelena Ostapenko,Jelena Ostapenko,Elina Avanesyan,2023-08-28,jelena ostapenko,elina avanesyan,8827537,14383103,1.06,19.0,1.06,10.0,0.9433962264150942,0.1,1.0433962264150942,0.8433962264150943
1.21769682,Cori Gauff,Mirra Andreeva,1.2,1000.0,Coco Gauff,Coco Gauff,Mirra Andreeva,2023-08-28,cori gauff,mirra andreeva,19249131,49006396,1.2,1000.0,1.2,10.0,0.8333333333333334,0.1,0.9333333333333333,0.7333333333333334
1.217697266,Caroline Wozniacki,Petra Kvitova,1.01,6.2,Caroline Wozniacki,Caroline Wozniacki,Petra Kvitova,2023-08-28,caroline wozniacki,petra kvitova,2309522,2497008,1.01,6.2,1.01,6.2,0.9900990099009901,0.16129032258064516,1.1513893324816353,0.828808687320345
1.217728452,Ons Jabeur,Linda Noskova,1.07,16.0,Ons Jabeur,Ons Jabeur,Linda Noskova,2023-08-28,ons jabeur,linda noskova,6161111,22088831,1.07,16.0,1.07,10.0,0.9345794392523364,0.1,1.0345794392523364,0.8345794392523365
1.217730102,Petra Martic,Marie Bouzkova,2.1,1.88,Marie Bouzkova,Marie Bouzkova,Petra Martic,2023-08-28,petra martic,marie bouzkova,2346703,8442764,2.1,1.88,2.1,1.88,0.47619047619047616,0.5319148936170213,1.0081053698074975,-0.0557244174265451
1.217730272,Yafan Wang,Katie Boulter,9.4,1.12,Katie Boulter,Katie Boulter,Yafan Wang,2023-08-28,yafan wang,katie boulter,7695509,8619018,9.4,1.12,9.4,1.12,0.10638297872340426,0.8928571428571428,0.9992401215805471,-0.7864741641337385
1.217731936,Yanina Wickmayer,Madison Keys,6.2,1.19,Madison Keys,Madison Keys,Yanina Wickmayer,2023-08-28,yanina wickmayer,madison keys,2386943,3800907,6.2,1.19,6.2,1.19,0.16129032258064516,0.8403361344537815,1.0016264570344267,-0.6790458118731364
1.217732978,Jessica Pegula,Patricia Maria Tig,1.03,50.0,Jessica Pegula,Jessica Pegula,Patricia Maria Tig,2023-08-28,jessica pegula,patricia maria tig,6215852,8679189,1.03,50.0,1.03,10.0,0.970873786407767,0.1,1.070873786407767,0.870873786407767
1.217733135,Karolina Pliskova,Clara Burel,100.0,1.01,Clara Burel,Clara Burel,Karolina Pliskova,2023-08-28,karolina pliskova,clara burel,6199453,10351066,100.0,1.01,10.0,1.01,0.1,0.9900990099009901,1.0900990099009902,-0.8900990099009901
1.217733361,Lesia Tsurenko,Ekaterina Alexandrova,100.0,1.01,Ekaterina Alexandrova,Ekaterina Alexandrova,Lesia Tsurenko,2023-08-28,lesia tsurenko,ekaterina alexandrova,5300861,8681458,100.0,1.01,10.0,1.01,0.1,0.9900990099009901,1.0900990099009902,-0.8900990099009901
1.217734045,Peyton Stearns,Clara Tauson,2.06,1.94,Peyton Stearns,Peyton Stearns,Clara Tauson,2023-08-28,peyton stearns,clara tauson,13835088,18848679,2.06,1.94,2.06,1.94,0.4854368932038835,0.5154639175257733,1.0009008107296569,-0.03002702432188975
1.217734047,Elina Svitolina,Anastasia Pavlyuchenkova,1.06,16.5,Elina Svitolina,Elina Svitolina,Anastasia Pavlyuchenkova,2023-08-28,elina svitolina,anastasia pavlyuchenkova,6324464,11057836,1.06,16.5,1.06,10.0,0.9433962264150942,0.1,1.0433962264150942,0.8433962264150943
1.217735205,Sachia Vickery,Greet Minnen,2.52,1.02,Greet Minnen,Greet Minnen,Sachia Vickery,2023-08-28,sachia vickery,greet minnen,6596286,10108736,2.52,1.02,2.52,1.02,0.3968253968253968,0.9803921568627451,1.377217553688142,-0.5835667600373482
1.217735474,Kaia Kanepi,Qinwen Zheng,36.0,1.03,Qinwen Zheng,Qinwen Zheng,Kaia Kanepi,2023-08-28,kaia kanepi,qinwen zheng,2250864,18848380,36.0,1.03,10.0,1.03,0.1,0.970873786407767,1.070873786407767,-0.870873786407767
1.21773938,Lucia Bronzetti,Eva Lys,2.38,1.73,Lucia Bronzetti,Lucia Bronzetti,Eva Lys,2023-08-28,lucia bronzetti,eva lys,9631351,10943021,2.38,1.73,2.38,1.73,0.42016806722689076,0.5780346820809249,0.9982027493078156,-0.15786661485403414
1.217740581,Daria Kasatkina,Sofia Kenin,1.14,8.0,Daria Kasatkina,Daria Kasatkina,Sofia Kenin,2023-08-28,daria kasatkina,sofia kenin,7795290,9149629,1.14,8.0,1.14,8.0,0.8771929824561404,0.125,1.0021929824561404,0.7521929824561404
1.217741084,Jodie Burrage,A Sabalenka,17.5,1.04,Aryna Sabalenka,Aryna Sabalenka,Jodie Burrage,2023-08-28,jodie burrage,a sabalenka,9631606,55177835,17.5,1.04,10.0,1.04,0.1,0.9615384615384615,1.0615384615384615,-0.8615384615384615
1.217763146,Elise Mertens,Cori Gauff,700.0,1.27,Coco Gauff,Coco Gauff,Elise Mertens,2023-08-28,elise mertens,cori gauff,9002334,19249131,700.0,1.27,10.0,1.27,0.1,0.7874015748031495,0.8874015748031495,-0.6874015748031496
